date,Total New Cases
30/12/23,0
31/12/23,1142034
01/01/24,0
02/01/24,0
03/01/24,0
04/01/24,0
05/01/24,0
06/01/24,0
07/01/24,867055
08/01/24,0
09/01/24,0
10/01/24,0
11/01/24,0
12/01/24,0
13/01/24,0
14/01/24,792174
15/01/24,0
16/01/24,0
17/01/24,0
18/01/24,0
19/01/24,0
20/01/24,0
21/01/24,577739
22/01/24,0
23/01/24,0
24/01/24,0
25/01/24,0
26/01/24,0
27/01/24,0
28/01/24,482850
29/01/24,0
30/01/24,0
31/01/24,0
01/02/24,0
02/02/24,0
03/02/24,0
04/02/24,413706
05/02/24,0
06/02/24,0
07/02/24,0
08/02/24,0
09/02/24,0
10/02/24,0
11/02/24,364642
12/02/24,0
13/02/24,0
14/02/24,0
15/02/24,0
16/02/24,0
17/02/24,0
18/02/24,320073
19/02/24,0
20/02/24,0
21/02/24,0
22/02/24,0
23/02/24,0
24/02/24,0
25/02/24,309122
26/02/24,0
27/02/24,0
28/02/24,0
29/02/24,0
01/03/24,0
02/03/24,0
03/03/24,287851
04/03/24,0
05/03/24,0
06/03/24,0
07/03/24,0
08/03/24,0
09/03/24,0
10/03/24,243517
11/03/24,0
12/03/24,0
13/03/24,0
14/03/24,0
15/03/24,0
16/03/24,0
17/03/24,232443
18/03/24,0
19/03/24,0
20/03/24,0
21/03/24,0
22/03/24,0
23/03/24,0
24/03/24,202259
25/03/24,0
26/03/24,0
27/03/24,0
28/03/24,0
29/03/24,0
30/03/24,0
31/03/24,456164
01/04/24,0
02/04/24,0
03/04/24,0
04/04/24,0
05/04/24,0
06/04/24,0
07/04/24,162012
08/04/24,0
09/04/24,0
10/04/24,0
11/04/24,0
12/04/24,0
13/04/24,0
14/04/24,160572
15/04/24,0
16/04/24,0
17/04/24,0
18/04/24,0
19/04/24,0
20/04/24,0
21/04/24,130156
22/04/24,0
23/04/24,0
24/04/24,0
25/04/24,0
26/04/24,0
27/04/24,0
28/04/24,139771
29/04/24,0
30/04/24,0
01/05/24,0
02/05/24,0
03/05/24,0
04/05/24,0
05/05/24,125188
06/05/24,0
07/05/24,0
08/05/24,0
09/05/24,0
10/05/24,0
11/05/24,0
12/05/24,132792
,
,
,
,
,
,
,
,
,
,
,
